10000Ringworld                Larry Niven              
11111NOT A BEST SELLER        GERRY POURNELL           
20000Dragon Flight            Anne Mc Caffrey          
22222NOT A BEST SELLER        ROBERT HEINLEIN          
30000Lensman series           E.E. Doc Smith           
33333NOT A BEST SELLER        BOB SHAW                 
40000The Practice Effect      David Brin               
44444The Crysalids            John Wyndham             
55555The Demolished Man       Alfred Bester            
66666Doomsday Book            Connie Willis            
77777Dune                     Frank Herbert            
88888The Gods Themselves      Isaac Asimov             
99999The Fountains of ParadiseArthur C. Clark          
